id,qdc:qualifieddc,qdc:qualifieddc/dc:title,qdc:qualifieddc/dc:creator,qdc:qualifieddc/dc:subject,qdc:qualifieddc/dc:description,qdc:qualifieddc/dc:date,qdc:qualifieddc/dc:type,qdc:qualifieddc/dc:identifier,qdc:qualifieddc/dc:relation,qdc:qualifieddc/dc:rights,qdc:qualifieddc/dcterms:hasPart,qdc:qualifieddc/dcterms:hasVersion,date
oai:figshare.com:article/7737671,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:23Z
oai:figshare.com:article/7737674,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:23Z
oai:figshare.com:article/7737668,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:23Z
oai:figshare.com:article/7737683,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:23Z
oai:figshare.com:article/7737677,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:23Z
oai:figshare.com:article/7737665,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:22Z
oai:figshare.com:article/7737659,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:22Z
oai:figshare.com:article/7737653,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:22Z
oai:figshare.com:article/7737650,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:22Z
oai:figshare.com:article/7737647,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:22Z
oai:figshare.com:article/7737662,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:22Z
oai:figshare.com:article/7737656,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:22Z
oai:figshare.com:article/7737635,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:21Z
oai:figshare.com:article/7737632,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:21Z
oai:figshare.com:article/7737641,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:21Z
oai:figshare.com:article/7737644,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:21Z
oai:figshare.com:article/7737638,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:21Z
oai:figshare.com:article/7737629,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:21Z
oai:figshare.com:article/7737608,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:20Z
oai:figshare.com:article/7737617,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T10:36:20Z
