id,resource,resource/identifier,resource/creators/creator/creatorName,resource/creators/creator/nameIdentifier,resource/titles/title,resource/publisher,resource/publicationYear,resource/subjects/subject,resource/dates/date,resource/language,resource/resourceType,resource/relatedIdentifiers/relatedIdentifier,resource/sizes/size,resource/formats/format,resource/rightsList/rights,resource/descriptions/description,resource/geoLocations/geoLocation/geoLocationBox,resource/contributors/contributor,resource/contributors/contributor/contributorName,resource/descriptions/description/br,resource/geoLocations/geoLocation/geoLocationPoint,date
oai:pangaea.de:doi:10.1594/PANGAEA.548490,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1986
oai:pangaea.de:doi:10.1594/PANGAEA.548491,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1986
oai:pangaea.de:doi:10.1594/PANGAEA.548492,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1986
oai:pangaea.de:doi:10.1594/PANGAEA.548493,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1986
oai:pangaea.de:doi:10.1594/PANGAEA.548499,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1977
oai:pangaea.de:doi:10.1594/PANGAEA.548501,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2000
oai:pangaea.de:doi:10.1594/PANGAEA.548525,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,2000
oai:pangaea.de:doi:10.1594/PANGAEA.548620,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1999
oai:pangaea.de:doi:10.1594/PANGAEA.548698,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1973
oai:pangaea.de:doi:10.1594/PANGAEA.548699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1988
oai:pangaea.de:doi:10.1594/PANGAEA.548752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1994
oai:pangaea.de:doi:10.1594/PANGAEA.548753,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.549050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.549058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1986
oai:pangaea.de:doi:10.1594/PANGAEA.549061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1989
oai:pangaea.de:doi:10.1594/PANGAEA.549062,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1986
oai:pangaea.de:doi:10.1594/PANGAEA.552044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.552126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1990
oai:pangaea.de:doi:10.1594/PANGAEA.552177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1990
oai:pangaea.de:doi:10.1594/PANGAEA.552179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.552191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.552352,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.552509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.557786,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.558112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.586824,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2000
oai:pangaea.de:doi:10.1594/PANGAEA.586834,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2006
