id,resource,resource/identifier,resource/alternateIdentifiers/alternateIdentifier,resource/relatedIdentifiers/relatedIdentifier,resource/titles/title,resource/rights,resource/creators/creator/creatorName,resource/descriptions/description,resource/subjects/subject,resource/resourceType,resource/publicationYear,resource/publisher,resource/dates/date,resource/creators/creator/nameIdentifier,date
oai:figshare.com:article/7737722,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737719,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737716,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737707,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737704,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737710,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737701,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737695,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737698,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737686,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737689,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737692,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737671,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737680,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737674,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737668,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737683,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737677,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737665,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737659,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737653,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737650,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737647,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737662,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
oai:figshare.com:article/7737656,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2019
