id,oai_datacite,oai_datacite/isReferenceQuality,oai_datacite/schemaVersion,oai_datacite/datacentreSymbol,oai_datacite/payload/resource,oai_datacite/payload/resource/identifier,oai_datacite/payload/resource/creators/creator/creatorName,oai_datacite/payload/resource/titles/title,oai_datacite/payload/resource/publisher,oai_datacite/payload/resource/publicationYear,oai_datacite/payload/resource/dates/date,oai_datacite/payload/resource/resourceType,oai_datacite/payload/resource/relatedIdentifiers/relatedIdentifier,oai_datacite/payload/resource/rightsList/rights,oai_datacite/payload/resource/descriptions/description,oai_datacite/payload/resource/subjects/subject,oai_datacite/payload/resource/creators/creator/affiliation,oai_datacite/payload/resource/language,oai_datacite/payload/resource/creators/creator/nameIdentifier,oai_datacite/payload/resource/version,oai_datacite/payload/resource/contributors/contributor,oai_datacite/payload/resource/contributors/contributor/contributorName,oai_datacite/payload/resource/contributors/contributor/nameIdentifier,date
oai:zenodo.org:975007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:969827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:974513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:974937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:972344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2015
oai:zenodo.org:971836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2015
oai:zenodo.org:975261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:972340,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2015
oai:zenodo.org:975893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:977085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:975219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:973846,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:975897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:977313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:978337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:978047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:973384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2015
oai:zenodo.org:979483,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:975293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:975003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:975287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:975561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:976525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:977347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:989835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:975699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2015
oai:zenodo.org:978801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:975935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:987409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:975463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:975999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:991091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
oai:zenodo.org:976019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:976517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:951953,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013
oai:zenodo.org:953138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:951609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:952790,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013
oai:zenodo.org:954134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:954086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:952980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:952446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013
oai:zenodo.org:953520,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:952410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:954234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:953348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:952524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013
oai:zenodo.org:954276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:953468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:954152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:961049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2015
oai:zenodo.org:956524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:958314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:954168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:954750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013
oai:zenodo.org:904974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:951115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:919726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013
oai:zenodo.org:918464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2014
oai:zenodo.org:901699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013
oai:zenodo.org:904870,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2016
oai:zenodo.org:898494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2017
