id,oai_dc:dc,oai_dc:dc/dc:title,oai_dc:dc/dc:publisher,oai_dc:dc/dc:identifier,oai_dc:dc/dc:source,oai_dc:dc/dc:description,oai_dc:dc/dc:type,oai_dc:dc/dc:creator,oai_dc:dc/dc:date,oai_dc:dc/dc:language,oai_dc:dc/dc:format,oai_dc:dc/dc:subject,oai_dc:dc/dc:coverage,date
badf78ac-32c7-4afa-a729-9f9ddb6d82fe,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-09
3692529d-0b66-43c4-9039-f1774e260d10,1,1,1,1,1,1,1,1,1,1,1,0,0,2008-01-01
7636857e-72d3-4c1a-9a31-d19be9d122cf,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-17
43fbd3b8-9934-4986-b4c6-d39725751fa4,1,1,1,1,1,1,1,1,1,1,1,0,0,2015-01-01
4085ca11-924d-439d-9db3-1d9c72f48a47,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
064508e2-255e-4d82-9f13-05d73476cc03,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-10
31e5eae9-5862-49fe-a39e-709375e0b279,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-09
f1fb5c6e-9a8a-4a9e-bc57-8ff820619473,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c5a80e95-0675-435d-b834-3ccc1694559d,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
1f07f070-4f3c-4933-b6f9-03322904cf51,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
4db858ad-5de0-4529-a5ff-a35159c909ba,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
909beb46-0ff4-4acd-8efa-539ec08d1f98,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c7316878-d022-49f2-b057-d6ce071050ad,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f2e6d53b-f640-4f7c-8bd7-24fc524a6464,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
9fa4fe9c-574a-48e0-a659-390bb7216997,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
189ed4fc-dbfd-4692-bb51-faebcdd4f5eb,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
08a78a86-2d0c-41ff-935b-3722f98f37aa,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c1399636-2740-4f86-ac4a-4af03c639737,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d2324e91-2793-440d-9456-27405a4c2fac,1,1,1,1,1,1,1,1,1,1,1,0,0,2017-01-01
702bef51-1aba-4fd2-a3a3-996bb89fbc6a,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
02726ffb-8cb4-4b54-8643-1ca8d6daa607,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
2dcbe70b-c6ad-4dbc-b8ad-c047a5322057,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f5038475-fbca-4cdf-8246-68f1a6bbcc5b,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
19ce552c-e959-4c80-9d39-325a4445603a,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
c544e57a-82fa-42d5-908a-967cc34f90e7,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
410249a8-57c4-4af6-aecf-a7cfcf077022,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-01-01
04716075-dded-4271-9432-6329b1a68228,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
c784b892-4893-4dac-a61d-bc4a458b1d88,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-09
54b2150d-e662-450d-b3c2-73b51ac32041,1,1,1,1,1,1,1,1,1,1,1,0,0,1994-01-01
8854d25e-05f9-48f0-88da-7c413b24f535,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-15
f9c264e3-d808-4b42-8091-87cafca2e38d,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-08
4575bf91-0c65-47a8-84cb-0b36111f8956,1,1,1,1,1,1,1,0,0,1,1,0,0,2019-05-08T08:00:29Z_header
326e4593-b2e4-4016-9568-d6d8fc1a23d9,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
9dedc1eb-775b-4c1e-9b6d-aa136be7cf7e,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
100f9b88-b979-4a43-ad71-5ebaaf477b2d,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
16c42bc5-8d00-477e-98a0-cf4c2f4b4cca,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
9ff07594-f512-43b2-b64d-1605ac58f115,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f69431e0-57d9-43c0-ac86-4251f2d99c66,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
1fa78a19-6a9c-498b-89b5-a0d6ceb58080,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
a4b0f734-1cf2-41e7-88fd-a94ceb8d1505,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
23dc5851-357d-4fa0-984b-2e81aca308a5,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
7cefc0b8-0126-4022-a865-d2a8c0323c7c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
bd29ef54-c4a9-4df5-8996-8790fd99c581,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-02
