id,rdf:RDF,rdf:RDF/ow:Publication,rdf:RDF/ow:Publication/dc:creator,rdf:RDF/ow:Publication/dc:date,rdf:RDF/ow:Publication/dc:identifier,rdf:RDF/ow:Publication/dc:description,rdf:RDF/ow:Publication/dc:language,rdf:RDF/ow:Publication/dc:relation,rdf:RDF/ow:Publication/dc:title,rdf:RDF/ow:Publication/dc:type,rdf:RDF/ow:Publication/dc:contributor,rdf:RDF/ow:Publication/dc:source,rdf:RDF/ow:Publication/dc:rights,rdf:RDF/ow:Publication/dc:publisher,rdf:RDF/ow:Publication/dc:coverage,rdf:RDF/ow:Publication/dc:subject,date
oai:secundus.datadryad.org:10255/dryad.88,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-03T14:46:08Z
oai:secundus.datadryad.org:10255/dryad.89,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-03T14:52:40Z
oai:secundus.datadryad.org:10255/dryad.90,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-03T15:01:17Z
oai:secundus.datadryad.org:10255/dryad.91,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-05T18:55:33Z
oai:secundus.datadryad.org:10255/dryad.92,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-05T19:00:34Z
oai:secundus.datadryad.org:10255/dryad.93,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-05T19:02:11Z
oai:secundus.datadryad.org:10255/dryad.94,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-05T19:33:27Z
oai:secundus.datadryad.org:10255/dryad.95,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-05T19:35:54Z
oai:secundus.datadryad.org:10255/dryad.96,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-07T20:15:25Z
oai:secundus.datadryad.org:10255/dryad.97,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-07T20:19:44Z
oai:secundus.datadryad.org:10255/dryad.98,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-07T20:24:04Z
oai:secundus.datadryad.org:10255/dryad.99,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2008-03-07T20:51:23Z
oai:secundus.datadryad.org:10255/dryad.100,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-03-19T18:45:34Z
oai:secundus.datadryad.org:10255/dryad.101,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-19T18:57:00Z
oai:secundus.datadryad.org:10255/dryad.102,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-03-19T19:11:39Z
oai:secundus.datadryad.org:10255/dryad.103,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-19T19:13:36Z
oai:secundus.datadryad.org:10255/dryad.104,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-03-19T19:45:29Z
oai:secundus.datadryad.org:10255/dryad.105,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-19T19:50:32Z
oai:secundus.datadryad.org:10255/dryad.106,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2008-03-21T13:50:41Z
oai:secundus.datadryad.org:10255/dryad.107,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2008-03-21T14:09:11Z
oai:secundus.datadryad.org:10255/dryad.108,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,2008-03-21T14:26:49Z
