id,atom:entry,atom:entry/atom:id,atom:entry/atom:link,atom:entry/atom:published,atom:entry/atom:updated,atom:entry/atom:source/atom:generator,atom:entry/atom:title,atom:entry/atom:author/atom:name,atom:entry/atom:category,atom:entry/oreatom:triples/rdf:Description,atom:entry/oreatom:triples/rdf:Description/rdf:type,atom:entry/oreatom:triples/rdf:Description/dcterms:modified,atom:entry/oreatom:triples/rdf:Description/dcterms:description,date
oai:secundus.datadryad.org:10255/dryad.87,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.430+00:00
oai:secundus.datadryad.org:10255/dryad.88,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.434+00:00
oai:secundus.datadryad.org:10255/dryad.89,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.438+00:00
oai:secundus.datadryad.org:10255/dryad.90,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.441+00:00
oai:secundus.datadryad.org:10255/dryad.91,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.445+00:00
oai:secundus.datadryad.org:10255/dryad.92,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.449+00:00
oai:secundus.datadryad.org:10255/dryad.93,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.453+00:00
oai:secundus.datadryad.org:10255/dryad.94,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.457+00:00
oai:secundus.datadryad.org:10255/dryad.95,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.460+00:00
oai:secundus.datadryad.org:10255/dryad.96,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.465+00:00
oai:secundus.datadryad.org:10255/dryad.97,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.468+00:00
oai:secundus.datadryad.org:10255/dryad.98,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.472+00:00
oai:secundus.datadryad.org:10255/dryad.99,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.477+00:00
oai:secundus.datadryad.org:10255/dryad.100,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.481+00:00
oai:secundus.datadryad.org:10255/dryad.101,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.483+00:00
oai:secundus.datadryad.org:10255/dryad.102,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.489+00:00
oai:secundus.datadryad.org:10255/dryad.103,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.491+00:00
oai:secundus.datadryad.org:10255/dryad.104,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.495+00:00
oai:secundus.datadryad.org:10255/dryad.105,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.497+00:00
oai:secundus.datadryad.org:10255/dryad.106,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.501+00:00
oai:secundus.datadryad.org:10255/dryad.107,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.504+00:00
oai:secundus.datadryad.org:10255/dryad.108,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.508+00:00
oai:secundus.datadryad.org:10255/dryad.109,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.510+00:00
oai:secundus.datadryad.org:10255/dryad.110,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.514+00:00
oai:secundus.datadryad.org:10255/dryad.111,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.518+00:00
oai:secundus.datadryad.org:10255/dryad.112,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.520+00:00
oai:secundus.datadryad.org:10255/dryad.113,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.524+00:00
oai:secundus.datadryad.org:10255/dryad.114,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.528+00:00
oai:secundus.datadryad.org:10255/dryad.115,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.531+00:00
oai:secundus.datadryad.org:10255/dryad.116,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.535+00:00
oai:secundus.datadryad.org:10255/dryad.117,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.537+00:00
oai:secundus.datadryad.org:10255/dryad.118,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.541+00:00
